sqft_area,bedrooms,bathrooms,age_of_property,location,furnishing_status,has_parking,has_pool,has_gym,price
4474,4,3,37,Downtown,Fully-Furnished,1,1,1,46871825.05
3767,5,3,2,Rural,Unfurnished,1,0,0,15582983.65
1325,2,3,36,Suburbs,Unfurnished,1,0,1,8343143.15
2016,3,1,43,Suburbs,Semi-Furnished,1,1,0,12548929.94
3646,4,4,30,Suburbs,Fully-Furnished,1,1,0,25177199.36
912,4,1,42,Rural,Semi-Furnished,1,0,1,4614148.1
1228,1,2,12,Business District,Fully-Furnished,1,1,1,14167612.54
3848,5,4,47,Uptown,Fully-Furnished,1,1,1,34574544.29
3308,5,4,17,Business District,Semi-Furnished,1,1,0,32271754.42
1175,2,3,16,Downtown,Semi-Furnished,1,1,0,13141130.51
3965,4,4,16,Uptown,Semi-Furnished,1,0,0,30950784.53
3004,3,2,10,Downtown,Unfurnished,1,0,0,27006736.14
3467,4,4,19,Rural,Fully-Furnished,1,1,1,18415421.17
3286,3,3,9,Business District,Unfurnished,1,0,0,28993826.48
1622,2,3,28,Suburbs,Fully-Furnished,1,0,0,10770633.76
4579,5,4,47,Uptown,Fully-Furnished,1,0,0,37548014.87
2071,5,3,33,Suburbs,Unfurnished,1,1,0,13470351.59
2643,4,2,16,Downtown,Unfurnished,1,0,1,26003556.86
2187,1,1,41,Suburbs,Fully-Furnished,1,0,0,11621320.66
4632,5,3,12,Suburbs,Semi-Furnished,1,0,1,28290190.61
4351,4,2,43,Rural,Semi-Furnished,1,0,0,16221130.66
3940,4,4,46,Rural,Semi-Furnished,0,0,0,14808284.71
4266,5,4,38,Business District,Semi-Furnished,1,0,1,38318162.51
2826,1,1,26,Downtown,Fully-Furnished,1,0,0,27253419.57
3414,4,4,25,Rural,Semi-Furnished,1,1,0,15452896.2
4452,5,2,27,Rural,Semi-Furnished,1,0,1,18177939.75
1095,1,3,12,Business District,Semi-Furnished,1,1,0,11557434.87
1228,3,3,11,Uptown,Fully-Furnished,0,0,0,11163810.01
1865,2,2,43,Business District,Unfurnished,1,1,1,16855028.01
4992,4,2,27,Suburbs,Semi-Furnished,1,0,1,29379372.85
1198,4,2,1,Suburbs,Fully-Furnished,1,0,0,9961831.67
895,4,1,36,Rural,Fully-Furnished,1,0,1,6715081.67
4671,3,4,33,Rural,Semi-Furnished,1,0,0,18457923.35
4860,5,4,22,Business District,Unfurnished,1,0,0,40371293.41
3002,3,3,44,Business District,Unfurnished,1,0,0,22927648.98
2319,3,1,28,Downtown,Unfurnished,0,1,1,23225789.19
1217,1,2,34,Suburbs,Fully-Furnished,1,0,0,6686548.25
3282,4,2,10,Business District,Semi-Furnished,1,1,0,31099378.51
4077,4,2,47,Uptown,Semi-Furnished,1,0,0,28670003.7
643,5,1,32,Downtown,Fully-Furnished,1,1,1,11099784.07
3640,5,3,10,Business District,Semi-Furnished,1,0,0,33253285.87
4991,5,3,8,Rural,Semi-Furnished,1,0,0,20250262.51
3438,4,3,13,Business District,Unfurnished,1,0,1,29245154.33
4136,3,4,8,Rural,Semi-Furnished,1,1,1,19725589.88
3722,3,2,38,Rural,Semi-Furnished,1,0,0,13845293.83
1667,4,3,47,Suburbs,Fully-Furnished,1,0,0,10920758.5
3116,5,3,2,Suburbs,Fully-Furnished,1,0,1,22148939.39
1562,1,3,28,Business District,Unfurnished,1,0,1,13205515.57
2656,2,1,18,Business District,Fully-Furnished,1,0,0,23473946.12
3482,4,2,35,Uptown,Unfurnished,0,0,0,23555139.97
3794,5,4,31,Downtown,Unfurnished,1,1,0,34634913.93
1656,3,2,6,Downtown,Semi-Furnished,1,0,0,16288809.09
1232,5,2,27,Business District,Unfurnished,1,1,1,14400475.2
4830,3,4,43,Suburbs,Semi-Furnished,1,0,0,26310798.09
1453,1,1,17,Uptown,Unfurnished,1,0,1,10702789.59
3039,4,2,4,Downtown,Fully-Furnished,1,1,1,34368554.29
3824,4,3,22,Business District,Fully-Furnished,0,0,1,37400536.38
3801,4,3,21,Suburbs,Fully-Furnished,1,0,1,24848099.31
2042,4,3,25,Suburbs,Unfurnished,1,1,0,13118391.75
1691,1,2,41,Suburbs,Unfurnished,1,0,0,8313253.12
3493,4,3,11,Rural,Semi-Furnished,1,0,1,16499255.11
3181,3,3,39,Suburbs,Semi-Furnished,1,0,1,18135022.17
1717,4,1,18,Business District,Semi-Furnished,1,0,0,15437423.94
2040,3,2,46,Uptown,Semi-Furnished,0,0,1,13945567.2
3736,5,2,0,Business District,Unfurnished,1,0,0,32136778.66
2886,4,1,2,Suburbs,Unfurnished,1,0,0,16524337.85
4219,4,4,26,Uptown,Semi-Furnished,1,1,0,32376216.41
1888,2,3,17,Downtown,Unfurnished,0,0,1,17443611.07
2356,1,2,49,Downtown,Unfurnished,1,0,0,18584533.04
1865,5,3,29,Business District,Unfurnished,1,0,0,16716588.54
999,4,2,1,Uptown,Unfurnished,0,1,1,11481457.22
2180,1,3,4,Business District,Semi-Furnished,1,1,1,22587477.09
1010,3,2,28,Uptown,Semi-Furnished,0,1,1,10353009.93
4812,3,4,32,Uptown,Unfurnished,1,1,0,35184564.16
1824,3,2,41,Business District,Fully-Furnished,1,0,0,17606838.64
1655,4,3,19,Uptown,Semi-Furnished,1,0,0,14412600.33
2327,1,2,29,Suburbs,Semi-Furnished,1,0,1,13107783.9
3641,4,2,41,Uptown,Fully-Furnished,1,0,1,28758687.59
3986,5,4,4,Uptown,Semi-Furnished,1,0,1,32437319.44
2310,5,2,49,Business District,Fully-Furnished,1,0,1,23332784.59
3423,3,4,20,Downtown,Fully-Furnished,1,0,0,35165635.93
2714,5,3,14,Rural,Unfurnished,1,1,1,14472512.13
4686,4,3,19,Uptown,Semi-Furnished,1,0,0,34884455.75
1213,4,3,7,Rural,Fully-Furnished,1,0,0,7717244.27
4102,3,4,48,Uptown,Unfurnished,0,0,0,27065214.77
4634,4,2,30,Business District,Semi-Furnished,0,0,1,39287828.6
4022,3,3,11,Business District,Unfurnished,1,0,1,33994956.1
4768,4,2,20,Uptown,Unfurnished,1,0,0,33814968.81
1743,1,3,29,Business District,Fully-Furnished,1,0,0,15356327.35
4209,5,2,26,Business District,Semi-Furnished,1,0,0,37050701.58
1581,5,3,43,Uptown,Unfurnished,1,0,1,13181489.43
955,5,2,25,Downtown,Fully-Furnished,1,0,1,11857664.88
1394,5,1,32,Uptown,Fully-Furnished,0,0,1,13293463.12
1884,2,3,25,Downtown,Unfurnished,1,0,1,18443145.78
2458,1,2,25,Business District,Unfurnished,0,0,0,20347154.64
3572,5,4,35,Downtown,Fully-Furnished,1,1,0,38524736.86
2496,2,2,39,Business District,Unfurnished,1,0,0,18931609.13
4785,5,2,0,Downtown,Unfurnished,1,1,0,44681283.04
1004,4,1,14,Downtown,Semi-Furnished,1,1,0,13561511.16
1714,4,1,49,Uptown,Fully-Furnished,1,1,0,14470180.64
2031,4,3,0,Downtown,Unfurnished,1,1,1,22020758.11
3940,5,2,10,Business District,Fully-Furnished,1,1,0,39293714.15
1323,4,3,1,Uptown,Semi-Furnished,1,0,0,12011034.3
1428,1,2,0,Downtown,Fully-Furnished,1,0,0,14844367.29
633,4,3,30,Uptown,Fully-Furnished,1,0,0,6373873.87
2605,5,2,43,Rural,Fully-Furnished,1,0,1,12693998.07
4127,4,4,15,Uptown,Semi-Furnished,1,0,1,31901810.91
2352,3,3,21,Rural,Semi-Furnished,0,0,0,9565113.76
4675,5,4,41,Rural,Fully-Furnished,0,1,1,21509152.46
3433,3,4,17,Uptown,Fully-Furnished,1,0,0,28681462.85
3784,3,4,46,Business District,Semi-Furnished,1,0,0,31823071.9
4798,4,2,16,Business District,Unfurnished,1,0,0,39690906.23
3311,5,4,29,Business District,Semi-Furnished,1,0,1,30965650.92
1750,5,2,9,Suburbs,Fully-Furnished,0,0,0,12301322.53
4012,4,2,34,Rural,Unfurnished,0,0,0,14137422.17
1756,5,2,20,Uptown,Unfurnished,1,0,1,15924424.96
3876,5,2,15,Business District,Unfurnished,0,0,0,32416150.49
3986,5,3,5,Business District,Semi-Furnished,1,0,0,36320510.16
4084,3,4,2,Uptown,Semi-Furnished,1,0,1,31793606.79
1896,2,1,40,Rural,Semi-Furnished,1,0,0,6846443.46
4137,4,4,42,Uptown,Semi-Furnished,1,0,1,30326364.13
3830,4,2,20,Suburbs,Fully-Furnished,1,0,1,24137771.96
3203,3,3,12,Suburbs,Unfurnished,1,0,1,18705143.04
970,3,1,17,Uptown,Fully-Furnished,0,0,1,9525098.4
1853,1,2,23,Rural,Semi-Furnished,1,0,1,8169016.23
3283,3,4,26,Business District,Semi-Furnished,0,0,1,28536021.66
3331,3,3,3,Suburbs,Fully-Furnished,0,1,1,22749365.72
857,4,3,21,Suburbs,Unfurnished,1,0,1,8068896.72
3519,4,4,23,Rural,Unfurnished,1,1,1,16956496.88
1167,5,2,39,Suburbs,Semi-Furnished,0,0,1,8429382.45
4968,3,4,44,Suburbs,Semi-Furnished,0,0,0,27284509.22
1645,1,3,9,Rural,Semi-Furnished,0,1,1,9224934.35
4685,3,3,1,Uptown,Semi-Furnished,1,1,0,36321097.94
4219,5,4,39,Business District,Unfurnished,1,1,0,36900683.35
3245,4,2,5,Business District,Fully-Furnished,0,0,0,30880738.81
1039,2,2,47,Suburbs,Unfurnished,1,0,1,5840460.29
3279,3,2,17,Business District,Fully-Furnished,1,1,0,32017321.48
4636,5,3,16,Uptown,Semi-Furnished,1,0,1,35811293.46
4275,5,2,37,Suburbs,Semi-Furnished,1,1,0,25258532.13
3008,3,4,44,Business District,Fully-Furnished,1,0,0,28396155.04
3279,5,2,22,Downtown,Semi-Furnished,1,1,0,31871079.94
1424,2,2,45,Downtown,Unfurnished,1,1,1,14632756.42
3456,4,3,29,Downtown,Semi-Furnished,0,0,1,31463068.0
2081,3,3,20,Downtown,Semi-Furnished,1,0,0,20727144.08
3824,3,4,9,Downtown,Semi-Furnished,1,0,0,36728266.16
4985,4,4,42,Suburbs,Semi-Furnished,1,0,1,27997657.71
755,3,3,12,Rural,Unfurnished,1,0,0,4830968.17
2338,1,1,11,Rural,Fully-Furnished,0,0,0,9444635.96
2444,2,1,8,Suburbs,Semi-Furnished,1,1,0,15300636.38
509,5,1,3,Suburbs,Semi-Furnished,0,1,1,8736898.25
3371,5,3,38,Uptown,Unfurnished,1,0,0,24259405.72
1297,1,3,23,Rural,Unfurnished,1,0,0,4770038.24
1515,1,2,33,Downtown,Unfurnished,1,1,1,14988161.0
2324,2,3,38,Suburbs,Semi-Furnished,1,1,1,14710875.84
4969,5,3,40,Downtown,Fully-Furnished,1,1,0,50553852.1
3636,3,2,4,Rural,Unfurnished,1,0,0,14173912.88
2693,4,2,14,Business District,Unfurnished,1,1,0,24246584.74
723,3,1,49,Business District,Unfurnished,0,0,0,5315833.37
4658,3,2,3,Suburbs,Fully-Furnished,1,1,0,29619451.54
4425,5,2,38,Uptown,Semi-Furnished,1,1,0,34746644.99
4500,4,2,7,Downtown,Semi-Furnished,1,1,0,43346444.59
2133,4,3,48,Suburbs,Semi-Furnished,1,0,1,14009839.0
2652,3,2,44,Uptown,Unfurnished,0,1,1,20384203.85
1010,1,3,23,Downtown,Semi-Furnished,1,0,0,8827402.7
884,3,3,27,Rural,Unfurnished,1,0,1,5502561.12
904,1,1,42,Business District,Fully-Furnished,0,1,0,7307323.49
2500,1,3,26,Uptown,Fully-Furnished,1,0,1,20123208.68
3256,5,3,0,Downtown,Semi-Furnished,1,0,0,32036696.22
2168,3,2,33,Suburbs,Unfurnished,1,1,1,13829051.97
1960,4,1,16,Downtown,Unfurnished,1,1,1,20431768.88
4136,3,3,36,Suburbs,Semi-Furnished,0,1,0,23263317.04
3224,4,4,37,Business District,Fully-Furnished,1,0,1,32513053.14
4678,4,4,25,Business District,Fully-Furnished,1,1,1,46433117.51
2548,5,1,23,Downtown,Fully-Furnished,0,0,0,26135881.96
4646,3,4,38,Downtown,Fully-Furnished,1,1,1,47853030.12
1216,2,3,20,Suburbs,Fully-Furnished,1,0,1,9490771.74
2323,4,3,29,Suburbs,Semi-Furnished,1,1,1,15496106.68
2581,5,1,46,Uptown,Semi-Furnished,0,0,1,20221683.75
3919,5,4,47,Uptown,Semi-Furnished,1,1,0,30147769.14
2074,4,1,12,Uptown,Fully-Furnished,1,0,1,19514561.05
749,2,3,36,Downtown,Fully-Furnished,1,0,1,9298484.03
1173,4,3,2,Uptown,Semi-Furnished,0,0,0,10029727.56
2665,2,2,31,Downtown,Semi-Furnished,1,1,0,25163603.7
1270,1,3,34,Business District,Fully-Furnished,1,0,1,12648516.51
4462,3,4,18,Rural,Unfurnished,1,0,1,18079500.27
4863,3,2,13,Business District,Semi-Furnished,1,0,0,41266884.91
2484,2,1,47,Downtown,Fully-Furnished,1,1,0,24299046.32
1577,3,1,21,Downtown,Fully-Furnished,1,0,0,15854866.48
735,4,3,16,Rural,Semi-Furnished,0,0,1,6175795.12
888,1,3,3,Suburbs,Unfurnished,1,0,1,7344479.57
3537,3,2,44,Suburbs,Fully-Furnished,0,1,0,21627033.33
2348,3,3,39,Suburbs,Semi-Furnished,1,0,0,12353171.31
3314,3,3,18,Uptown,Fully-Furnished,0,1,1,29024917.03
3874,3,2,36,Suburbs,Fully-Furnished,1,1,0,24324834.19
3778,4,3,1,Uptown,Fully-Furnished,1,0,1,33445410.24
1752,1,2,14,Uptown,Fully-Furnished,1,0,0,13325903.4
4481,5,3,1,Suburbs,Unfurnished,1,1,0,26983047.67
2622,1,3,10,Suburbs,Semi-Furnished,1,1,0,17427210.63
2650,2,3,44,Rural,Semi-Furnished,1,1,1,11483558.52
1829,3,2,22,Rural,Semi-Furnished,1,0,1,7911706.85
1858,5,3,9,Uptown,Semi-Furnished,1,0,1,16976854.34
2982,3,3,2,Rural,Semi-Furnished,1,0,1,13735722.28
2517,3,2,4,Uptown,Unfurnished,1,0,0,19337763.53
1831,5,3,2,Downtown,Fully-Furnished,1,0,0,21491033.25
4844,3,4,37,Uptown,Fully-Furnished,1,0,0,37631279.09
4761,3,3,12,Uptown,Semi-Furnished,1,0,1,36104268.55
1858,4,2,41,Rural,Fully-Furnished,1,0,0,8369578.55
3677,5,4,18,Downtown,Fully-Furnished,1,0,1,39470761.39
2628,3,1,39,Business District,Fully-Furnished,1,0,1,24103644.09
2680,1,1,49,Business District,Semi-Furnished,1,1,0,21555758.47
637,1,2,34,Business District,Semi-Furnished,1,0,1,7108311.17
3972,3,2,23,Downtown,Unfurnished,0,0,1,34589141.57
3332,3,2,23,Suburbs,Semi-Furnished,0,0,1,20014794.23
4079,3,2,16,Downtown,Unfurnished,1,0,1,36566055.5
3531,5,3,39,Rural,Semi-Furnished,0,0,1,15232427.47
4664,4,2,9,Uptown,Fully-Furnished,1,0,0,38362403.02
3093,4,4,1,Uptown,Unfurnished,1,0,1,25149297.76
4800,5,3,43,Rural,Unfurnished,0,1,0,18669580.95
4318,3,4,22,Rural,Unfurnished,0,0,0,15229047.55
4638,4,2,5,Uptown,Semi-Furnished,1,0,1,35908002.48
4323,4,2,1,Suburbs,Unfurnished,0,1,1,26187828.22
4542,5,4,20,Suburbs,Semi-Furnished,1,0,0,26643127.9
2406,1,2,34,Suburbs,Unfurnished,1,1,0,13124916.79
1260,3,2,48,Rural,Semi-Furnished,1,0,1,5647099.6
3945,3,3,28,Uptown,Unfurnished,1,0,1,28855976.79
1399,2,3,6,Uptown,Fully-Furnished,1,0,0,12649647.55
4955,5,4,28,Uptown,Fully-Furnished,1,1,1,43385890.51
3447,3,2,36,Downtown,Unfurnished,1,0,0,29030025.58
2219,5,3,22,Downtown,Semi-Furnished,1,0,1,23065435.8
780,2,1,32,Business District,Semi-Furnished,1,0,1,8767985.31
3766,5,3,7,Downtown,Semi-Furnished,1,0,1,36572279.03
2387,5,2,11,Suburbs,Fully-Furnished,1,1,1,18927301.79
3766,5,4,45,Suburbs,Fully-Furnished,1,0,0,22480759.76
1166,2,3,47,Suburbs,Fully-Furnished,1,1,1,9301678.64
4688,3,3,9,Suburbs,Semi-Furnished,0,0,0,26324148.68
1171,3,2,14,Business District,Semi-Furnished,1,1,0,12930394.77
2469,5,1,23,Suburbs,Semi-Furnished,1,0,0,14526849.78
4656,4,4,25,Rural,Unfurnished,1,1,0,18933948.38
3622,3,3,46,Rural,Unfurnished,1,0,0,12579628.75
4400,5,3,41,Rural,Unfurnished,1,1,0,17168596.58
1023,4,2,38,Downtown,Fully-Furnished,1,0,1,12346466.79
2893,1,1,2,Uptown,Fully-Furnished,1,0,1,23462427.6
3617,5,3,1,Business District,Semi-Furnished,1,1,0,34517967.26
3093,5,4,5,Rural,Unfurnished,1,0,1,14939004.05
2468,5,1,20,Rural,Semi-Furnished,1,1,0,12101595.96
2253,2,2,8,Suburbs,Unfurnished,1,0,0,12049486.74
2796,3,3,9,Rural,Unfurnished,0,0,0,11154702.13
2761,4,1,35,Suburbs,Semi-Furnished,1,1,0,16296270.19
2786,4,2,2,Suburbs,Semi-Furnished,1,0,0,17550331.08
4702,3,3,40,Uptown,Unfurnished,1,0,1,32553457.43
3378,4,3,23,Downtown,Unfurnished,1,1,0,31593364.78
4643,3,3,21,Suburbs,Fully-Furnished,0,0,0,26874603.76
4144,3,4,48,Suburbs,Semi-Furnished,1,0,0,22794579.1
4932,5,2,13,Uptown,Semi-Furnished,1,0,1,38676930.51
2555,2,3,41,Suburbs,Semi-Furnished,1,1,0,14853570.83
1776,1,2,44,Business District,Semi-Furnished,1,1,1,17659665.19
3266,3,2,43,Downtown,Unfurnished,0,1,0,28774857.82
802,3,3,26,Business District,Fully-Furnished,0,0,0,8072600.47
1138,5,2,32,Rural,Semi-Furnished,1,0,0,5697694.64
555,1,2,21,Downtown,Unfurnished,1,0,1,5738082.01
1025,2,2,28,Rural,Unfurnished,0,0,1,4287130.72
4623,4,4,18,Suburbs,Unfurnished,1,0,0,25628915.3
2625,2,3,18,Uptown,Unfurnished,1,0,0,18803120.43
3787,5,2,5,Business District,Unfurnished,1,1,0,33307884.27
864,4,1,44,Rural,Semi-Furnished,1,1,0,5771132.12
2146,4,1,18,Suburbs,Semi-Furnished,1,0,0,13447220.72
1418,3,3,12,Business District,Fully-Furnished,1,1,1,18280009.72
3297,4,4,25,Business District,Semi-Furnished,1,1,1,31790190.25
2031,3,1,21,Rural,Unfurnished,1,0,0,8475661.68
3845,3,4,20,Suburbs,Fully-Furnished,1,0,1,24462547.55
2406,2,1,35,Uptown,Unfurnished,0,0,1,16730722.35
3586,4,3,1,Rural,Unfurnished,0,0,0,13787969.52
2575,3,1,46,Business District,Semi-Furnished,0,0,0,19833068.49
1213,3,2,43,Business District,Unfurnished,1,0,1,12043374.95
1562,5,1,29,Downtown,Semi-Furnished,1,1,1,17705880.29
2476,2,3,26,Suburbs,Unfurnished,0,0,0,12846631.76
1796,2,2,6,Downtown,Fully-Furnished,1,0,1,20190520.49
625,5,2,19,Uptown,Unfurnished,1,0,0,6755606.16
4096,5,4,49,Rural,Semi-Furnished,0,0,1,15931924.02
3783,3,4,30,Business District,Unfurnished,1,0,0,30330729.47
2103,1,3,22,Suburbs,Semi-Furnished,0,0,1,12631079.12
566,3,1,12,Business District,Semi-Furnished,1,1,0,7925245.12
732,1,2,16,Downtown,Fully-Furnished,1,0,0,8163040.27
2656,3,3,3,Downtown,Semi-Furnished,1,1,0,27551290.93
1669,4,2,13,Rural,Fully-Furnished,1,0,0,8814085.51
2658,2,1,19,Suburbs,Fully-Furnished,1,0,1,16987263.6
4706,3,2,12,Suburbs,Unfurnished,1,0,0,25343080.8
1993,4,3,2,Rural,Fully-Furnished,1,1,0,12181600.32
4507,5,2,25,Downtown,Semi-Furnished,0,1,0,42215854.84
2972,5,3,25,Downtown,Semi-Furnished,1,0,1,29645946.72
3160,5,3,17,Downtown,Fully-Furnished,1,0,0,33750851.35
3239,5,4,31,Business District,Unfurnished,1,0,0,26752391.59
2261,5,1,13,Uptown,Fully-Furnished,1,1,1,23504738.16
4014,5,4,46,Downtown,Fully-Furnished,1,0,0,40329138.75
2475,4,3,2,Uptown,Semi-Furnished,1,0,1,21669502.57
2862,2,3,0,Uptown,Unfurnished,1,0,0,20785044.69
1376,3,3,25,Suburbs,Unfurnished,0,0,1,8605248.54
4312,3,2,23,Rural,Unfurnished,1,1,0,17485243.41
3948,5,4,48,Business District,Unfurnished,0,0,1,32825030.88
1812,4,1,34,Uptown,Semi-Furnished,1,0,0,13011189.21
1960,2,3,13,Business District,Unfurnished,1,0,0,16410951.48
3209,4,4,2,Suburbs,Unfurnished,1,0,0,19114698.84
2824,5,2,12,Downtown,Unfurnished,1,0,1,26885400.93
2233,3,2,46,Uptown,Semi-Furnished,1,1,1,18410420.59
2105,1,3,49,Rural,Semi-Furnished,1,0,0,6231822.3
3063,4,3,13,Suburbs,Unfurnished,1,0,0,18301336.65
3921,3,4,20,Business District,Semi-Furnished,1,0,1,34158618.56
4017,4,4,25,Downtown,Fully-Furnished,1,1,1,43549381.32
2897,5,1,2,Business District,Unfurnished,1,0,1,28036753.14
4235,4,2,39,Rural,Semi-Furnished,1,1,1,18713651.39
3370,5,3,3,Uptown,Unfurnished,1,0,0,25720033.48
1660,4,1,35,Rural,Unfurnished,1,1,0,7777883.59
742,1,1,42,Business District,Semi-Furnished,1,0,0,4637312.64
3090,3,4,0,Business District,Fully-Furnished,1,0,1,32101143.38
1563,2,3,39,Rural,Unfurnished,1,0,0,5689410.46
4824,5,2,46,Rural,Fully-Furnished,1,1,0,20202369.74
3095,4,3,32,Rural,Semi-Furnished,0,1,0,12797464.32
1419,1,2,6,Downtown,Unfurnished,1,1,0,13628183.02
505,5,1,10,Business District,Semi-Furnished,1,1,0,8764142.73
967,1,3,26,Suburbs,Semi-Furnished,1,0,0,5125068.99
4670,5,4,13,Downtown,Semi-Furnished,0,0,1,44920811.0
503,4,3,21,Downtown,Semi-Furnished,1,1,0,7928135.9
1145,4,2,15,Downtown,Unfurnished,1,1,0,13692498.07
617,5,3,45,Suburbs,Fully-Furnished,1,0,1,6033591.51
3428,3,2,11,Rural,Fully-Furnished,1,0,1,16534180.14
3051,3,4,48,Business District,Unfurnished,1,0,1,24896624.19
4789,4,2,45,Uptown,Unfurnished,1,0,0,32090095.27
1346,3,2,9,Uptown,Fully-Furnished,1,0,1,13138473.26
3262,5,4,23,Business District,Fully-Furnished,1,0,0,32351889.24
1641,1,3,45,Suburbs,Unfurnished,1,0,0,7231837.13
2310,2,2,17,Uptown,Semi-Furnished,0,1,1,18970004.18
1223,5,2,21,Downtown,Unfurnished,1,1,1,15014779.67
724,4,3,8,Uptown,Fully-Furnished,1,1,0,10194692.59
4708,4,3,16,Business District,Semi-Furnished,1,1,1,42966072.42
2548,4,2,37,Downtown,Fully-Furnished,1,0,1,26712965.36
4915,5,2,39,Uptown,Semi-Furnished,1,1,1,37837040.75
2073,3,1,12,Business District,Fully-Furnished,0,0,0,20050919.86
2328,2,2,49,Suburbs,Semi-Furnished,0,1,0,13128036.46
2417,4,1,36,Business District,Unfurnished,1,0,0,19324469.51
4734,4,3,5,Suburbs,Unfurnished,1,1,0,28443596.95
2526,2,3,20,Downtown,Semi-Furnished,1,0,0,22735679.79
4244,5,4,35,Business District,Semi-Furnished,1,0,1,37843622.06
1401,2,1,6,Rural,Unfurnished,1,0,1,6728459.18
2539,2,2,35,Rural,Unfurnished,1,0,0,8885357.15
509,5,2,24,Rural,Semi-Furnished,1,0,0,4078776.23
760,4,1,10,Rural,Semi-Furnished,1,0,0,4553850.64
2173,4,3,43,Rural,Unfurnished,1,1,1,10135153.04
2719,2,3,13,Suburbs,Fully-Furnished,0,0,0,16619827.99
2560,3,2,44,Business District,Unfurnished,1,0,1,21708519.77
4213,3,2,28,Downtown,Semi-Furnished,0,0,1,38337227.83
2119,1,3,9,Rural,Semi-Furnished,1,0,0,8010419.76
820,1,2,49,Rural,Fully-Furnished,1,0,0,2145110.98
1842,5,3,47,Downtown,Unfurnished,1,0,0,17340720.6
2876,2,2,4,Downtown,Semi-Furnished,1,1,1,29158429.02
3332,5,3,7,Rural,Unfurnished,1,0,1,15059142.28
3324,4,2,45,Suburbs,Semi-Furnished,0,1,1,21000141.38
2494,2,1,4,Downtown,Fully-Furnished,1,1,1,27221477.41
3458,3,3,23,Business District,Unfurnished,1,1,0,29763471.77
2538,1,3,39,Business District,Unfurnished,1,0,0,19185071.27
3990,5,4,25,Suburbs,Fully-Furnished,1,0,1,26989501.67
4177,3,4,5,Uptown,Semi-Furnished,1,0,1,33137328.48
1618,5,2,15,Suburbs,Semi-Furnished,1,1,1,13311888.21
2104,3,3,35,Rural,Unfurnished,1,0,1,8743366.37
4527,4,3,11,Uptown,Fully-Furnished,1,1,0,38779377.09
735,5,3,10,Rural,Unfurnished,1,0,0,5934620.9
2469,3,3,2,Business District,Unfurnished,1,0,1,22696899.22
4929,4,3,43,Downtown,Semi-Furnished,1,0,1,44793782.43
2408,2,2,36,Rural,Semi-Furnished,0,0,0,7529409.38
875,3,1,5,Business District,Semi-Furnished,1,1,0,11549504.31
4030,5,2,18,Suburbs,Semi-Furnished,1,0,0,23965122.91
3135,5,2,17,Rural,Semi-Furnished,1,0,0,13615725.89
2070,4,2,15,Business District,Fully-Furnished,1,0,0,21167950.61
3060,5,4,22,Downtown,Unfurnished,1,0,1,29242995.92
3891,3,2,42,Rural,Fully-Furnished,1,0,1,15859131.68
3465,4,2,36,Business District,Unfurnished,1,0,1,29153493.54
4143,4,3,8,Rural,Semi-Furnished,0,0,1,17924998.14
4350,5,2,2,Downtown,Fully-Furnished,1,0,0,45611534.77
1372,4,1,7,Rural,Unfurnished,1,0,1,7609065.73
1752,2,3,37,Rural,Semi-Furnished,1,0,0,6139279.39
1814,4,2,3,Business District,Semi-Furnished,1,0,1,19666810.56
3398,5,4,11,Uptown,Fully-Furnished,1,1,1,32533083.02
577,5,3,43,Rural,Fully-Furnished,1,1,0,5758064.07
3121,4,3,30,Uptown,Fully-Furnished,0,1,0,26246607.16
4727,4,3,24,Suburbs,Semi-Furnished,1,1,0,28477443.71
1100,4,2,15,Rural,Unfurnished,1,0,0,5334718.61
1565,1,2,41,Uptown,Unfurnished,1,0,0,9622297.93
2636,3,3,13,Suburbs,Fully-Furnished,1,0,1,17673698.38
2949,4,1,12,Business District,Unfurnished,0,0,1,25030779.56
2843,2,3,40,Rural,Semi-Furnished,1,0,0,9655308.81
2363,3,2,6,Business District,Unfurnished,1,1,0,22343051.61
1818,5,2,11,Suburbs,Semi-Furnished,1,0,1,14392765.53
4097,5,2,36,Business District,Fully-Furnished,1,0,0,38567084.85
4262,4,4,49,Business District,Unfurnished,1,0,0,34441973.76
2690,3,3,3,Downtown,Semi-Furnished,1,0,1,26884031.3
1492,5,1,1,Suburbs,Fully-Furnished,1,0,0,11839301.41
3212,5,3,34,Business District,Fully-Furnished,1,1,0,31606141.1
2692,2,3,43,Uptown,Fully-Furnished,0,0,0,19532690.8
1748,5,2,2,Suburbs,Fully-Furnished,1,1,0,14224046.0
3554,4,4,3,Downtown,Unfurnished,1,1,0,33760431.23
4533,3,3,37,Rural,Semi-Furnished,1,0,0,17100433.2
2497,3,1,11,Business District,Unfurnished,1,0,0,21375283.15
4187,3,3,18,Uptown,Semi-Furnished,1,1,1,33065145.93
2651,1,2,9,Downtown,Fully-Furnished,0,0,1,26948157.56
4518,4,4,0,Suburbs,Unfurnished,1,0,1,27635078.25
3610,5,4,16,Business District,Fully-Furnished,1,1,0,36790594.95
2470,4,3,15,Downtown,Semi-Furnished,1,0,0,23674695.0
697,5,1,8,Downtown,Fully-Furnished,1,0,0,9304497.67
3126,5,2,8,Uptown,Unfurnished,0,0,1,25047039.23
1702,5,1,8,Rural,Unfurnished,1,0,0,8481829.89
